======================================================================
          港口可贸易资源 - 数据变化分析报告
======================================================================

【一、总体变化概览】
--------------------------------------------------
  原数据总量: 11,408,000 吨
  新数据总量: 11,392,400 吨
  总量变化:   -15,600 吨
  新增数量:   3,323,400 吨 (44 笔)
  减少数量:   2,558,000 吨 (43 笔)
  数量变更:   43 笔

【二、供应商-货类维度增减统计】
--------------------------------------------------
  供应商          货类              原总量        新总量         变化      新增量    新增笔      减少量    减少笔
  --------------------------------------------------------------------------------------
  陆海           PB粉         360,000    650,000   +290,000  290,000      2  170,000      1
  环富           PB粉               0    170,000   +170,000  170,000      1        0      0
  嘉吉           麦克粉               0    165,000   +165,000  165,000      1        0      0
  厦门国贸矿业       乌精                0    160,000   +160,000  160,000      1        0      0
  广物中南         麦克粉               0    110,000   +110,000  110,000      1        0      0
  瑞钢联          PB粉         350,000    450,000   +100,000  170,000      1   30,000      1
  山东良善         麦克粉               0     90,000    +90,000   90,000      1        0      0
  象屿鑫成         超特粉               0     85,000    +85,000   85,000      2        0      0
  团发           乌精          135,000    208,000    +73,000  152,000      2   72,000      3
  厦门国贸冶矿       乌精                0     60,000    +60,000   60,000      1        0      0
  建发           超特粉               0     50,000    +50,000   50,000      2        0      0
  屿丰           超特粉               0     50,000    +50,000   50,000      1        0      0
  杭钢外贸         加拿大球团             0     38,000    +38,000   38,000      1        0      0
  新湖           纽曼粉          20,000     47,000    +27,000   27,000      1        0      0
  苏美达          乌精           20,000     40,000    +20,000   20,000      1        0      0
  热联           超特粉               0     20,000    +20,000   20,000      1        0      0
  冀东           超特粉               0     20,000    +20,000   20,000      1        0      0
  热联钢贸         超特粉               0     20,000    +20,000   20,000      1        0      0
  建发           金布巴粉              0     20,000    +20,000   20,000      1        0      0
  亚融           金布巴粉         20,000     40,000    +20,000   10,000      1        0      0
  普阳           PB粉               0     20,000    +20,000   20,000      1        0      0
  Fomento      金布巴粉              0     17,000    +17,000   17,000      1        0      0
  象屿鑫成         PB粉          10,000     22,000    +12,000   22,000      1   10,000      1
  富驰           纽曼粉               0     10,000    +10,000   10,000      1        0      0
  建发           麦克粉          39,000     49,000    +10,000        0      0        0      0
  冀兆           金布巴粉              0     10,000    +10,000   10,000      1        0      0
  点石           麦克粉               0     10,000    +10,000   10,000      1        0      0
  象屿张家港        麦克粉               0      5,400     +5,400    5,400      1        0      0
  象屿鑫成         乌精          308,000    313,000     +5,000        0      0        0      0
  象屿钢铁         纽曼粉          50,000     50,000          0        0      0        0      0
  象屿钢铁         伊朗球团         50,000     50,000          0        0      0        0      0
  金开           印度球团         55,000     55,000          0        0      0        0      0
  物产炉料二部       PB粉          80,000     80,000          0        0      0        0      0
  中信           乌精          170,000    170,000          0        0      0        0      0
  中兖           麦克粉         140,000    140,000          0        0      0        0      0
  中兖           PB粉         100,000    100,000          0        0      0        0      0
  上海希帕蒂娅       麦克粉          55,000     55,000          0        0      0        0      0
  上海润鹤         PB粉         300,000    300,000          0  200,000      1  200,000      1
  中信           PB粉          15,000     15,000          0        0      0        0      0
  物产炉料二部       麦克粉          11,000     11,000          0        0      0        0      0
  冀东           麦克粉          20,000     20,000          0        0      0        0      0
  凯创/坤强        麦克粉          75,000     75,000          0        0      0        0      0
  厦门国贸         混合粉         120,000    120,000          0        0      0        0      0
  冀东           金布巴粉         90,000     90,000          0        0      0        0      0
  杭钢外贸         麦克粉          35,000     35,000          0        0      0        0      0
  新湖           麦克粉          26,000     26,000          0        0      0        0      0
  建发           伊朗球团         50,000     50,000          0        0      0        0      0
  建发           纽曼粉          80,000     80,000          0   80,000      1   80,000      1
  建发           乌精           70,000     70,000          0        0      0        0      0
  山铁           麦克粉          60,000     60,000          0        0      0        0      0
  山东禾象         麦克粉         100,000    100,000          0   90,000      1   90,000      1
  嘉能可          澳洲球团         60,000     60,000          0        0      0        0      0
  凯航           PB粉          10,000     10,000          0        0      0        0      0
  山铁           PB粉         100,000    100,000          0        0      0        0      0
  联拓           金布巴粉        110,000    110,000          0        0      0        0      0
